projects name,project img
AL JAZEERA TOWER,https://trojanconstruction.group/storage/projects/June2022/sGg7gvYecLcxw3jgpgnz.jpg
SARAYA 1 AND 2,https://trojanconstruction.group/storage/projects/June2022/5reA3ZzjtdlvT19Bt3gf.jpg
SHAKBOUT TOWER,https://trojanconstruction.group/storage/projects/June2022/EJyvDN1ei3r6SIaaYoqW.jpg
MARINA SQUARE – ZONE A DEVELOPMENT,https://trojanconstruction.group/storage/projects/June2022/P7iEftyimyNmpACliIIm.jpg
MARINA SQUARE – ZONE D DEVELOPMENT,https://trojanconstruction.group/storage/projects/June2022/x7Esn94PdGrCWp3kdKG0.jpg
ARZANA HOTEL & HOUSING COMPLEX,https://trojanconstruction.group/storage/projects/June2022/oxa3deNDXPcfnszAI9RY.jpg
VICEROY HOTEL,https://trojanconstruction.group/storage/projects/June2022/xdWxfIssIYox4AMN9XkT.jpg
DTCD PHASE 1,https://trojanconstruction.group/storage/projects/June2022/Tq4Gd2Vn9LycchqCpzQn.jpg
CITY WALK HOTEL,https://trojanconstruction.group/storage/projects/June2022/appd9PASWsb27UqUABAp.jpg
DANET HOLIDAY INN HOTEL,https://trojanconstruction.group/storage/projects/June2022/33kJX7uiiCzDDgzVC01F.jpg
MBS CROWNE PLAZA,https://trojanconstruction.group/storage/projects/June2022/WaWNrp43n0tNs6WEHcfZ.jpg
W HOTEL,https://trojanconstruction.group/storage/projects/August2022/aejRvT1PHhktfSvXQ8wa.jpg
DEIRA WATERFRONT,https://trojanconstruction.group/storage/projects/June2022/eTCDwsJnli90M1jEQBUC.jpg
ROVE HOTEL,https://trojanconstruction.group/storage/projects/January2023/TAM9F7xa7fKcicbYm9gt.png
BANIYAS NORTH,https://trojanconstruction.group/storage/projects/June2022/ZJW6Wn2IEoBB0StHfDtG.jpg
EMIRATI HOUSING COMMUNITY,https://trojanconstruction.group/storage/projects/June2022/svNQ2Ett3bc4FeLJhXr3.jpg
HIGHLAND RESORT VILLAS,https://trojanconstruction.group/storage/projects/June2022/7phXzoSC3ZzeI1P7UHW5.jpg
SEYCHELLES HOUSING PROJECT,https://trojanconstruction.group/storage/projects/June2022/N3sMmKw7UiJt46cYZg7f.jpg
NALAYA COMMUNITY,https://trojanconstruction.group/storage/projects/June2022/PoChrmlAvanFCGdoIkmv.jpg
SEVENTH HEAVEN,https://trojanconstruction.group/storage/projects/June2022/MzJfjXUGXnosntJ0ehwq.jpg
SERENIA RESIDENCES,https://trojanconstruction.group/storage/projects/June2022/3sdW5GrRW73L0oZENaax.jpg
GREENWICH LONDON,https://trojanconstruction.group/storage/projects/August2022/9pSjHaeXSJCaqeW6pHmz.jpg
BARWA COMMERCIAL AVENUE,https://trojanconstruction.group/storage/projects/June2022/3xfTPCTSXsD9GCaaMGke.jpg
ASHJAR LIVING,https://trojanconstruction.group/storage/projects/June2022/L8X2lrNb2TYbE4YtcNzY.jpg
NEW GUEST HOUSE ADNOC,https://trojanconstruction.group/storage/projects/June2022/hYjG6KooSmNYLBAPnEkF.jpg
ADNOC RUWAIS HOUSING COMPLEX EXPANSION,https://trojanconstruction.group/storage/projects/June2022/DaiMLJlcKQ05RR2pRE5V.jpg
MIRA OASIS,https://trojanconstruction.group/storage/projects/June2022/uoBEnDYpQ6LIdpwSVZxW.jpg
DAMAC – PHASE 1 VILLAS,https://trojanconstruction.group/storage/projects/June2022/ZHibdFcav8ua9qBU12BN.jpg
AIN AL FAYDHA PROJECT,https://trojanconstruction.group/storage/projects/June2022/r6us1dc1AJ0fAPXIxxQA.jpg
EMIRATIS HOUSING DEVELOPMENT,https://trojanconstruction.group/storage/projects/November2022/0tHNm2aAigYNTQ1yggCq.jpg
"MAPLE PHASE 1, 2 & 3",https://trojanconstruction.group/storage/projects/January2024/uKC4JrfosHB70ol954qn.jpg
AL SARFA VILLAS,https://trojanconstruction.group/storage/projects/June2022/BFXn3gkCjCfgCK2d9d4Y.jpg
AL FALAH 900 VILLAS,https://trojanconstruction.group/storage/projects/June2022/UyHrGxRIUxTDnFsnHkiz.jpg
YAS ACRES PHASE 1,https://trojanconstruction.group/storage/projects/January2023/wt2L7SYHMtKVXVUNtDBf.png
The SABIC Jubail Main Building,https://trojanconstruction.group/storage/projects/January2023/btuXMnnhivTqyrpNMf1d.png
